"Precinct","Anti-Arab","Anti-Black","Anti-Buddhist","Anti-Femaile homosexual (Lesbian)","Anti-Islamic (Muslim)","Anti-Jewish","Anti-LGBT (mixed group)","Anti-Male homosexual (Gay)","Anti-Other Ethnicity/national origin","Anti-Transgender","Anti-White","Total"
"1","0","1","0","1","1","0","0","0","0","0","0","3"
"5","0","0","0","0","0","1","0","0","0","0","0","1"
"6","0","0","0","0","0","1","0","1","0","0","0","2"
"7","0","0","1","0","0","0","0","0","0","0","0","1"
"9","0","0","0","0","0","0","0","0","0","0","0","0"
"10","0","1","0","0","0","0","0","0","0","0","0","1"
"13","0","0","0","0","0","0","0","0","0","0","0","0"
"14","0","1","0","0","0","1","1","0","0","0","0","3"
"17","0","0","0","0","0","0","0","0","0","0","0","0"
"18","0","0","0","0","0","1","0","1","0","0","0","2"
"19","0","2","0","0","0","3","0","0","0","0","0","5"
"20","0","0","0","0","0","1","0","0","0","0","0","1"
"22","0","0","0","0","0","0","0","0","0","0","0","0"
"23","0","0","0","0","0","0","0","0","1","0","0","1"
"24","0","0","0","0","0","1","0","0","0","0","0","1"
"25","0","0","0","0","0","1","0","0","0","0","0","1"
"26","0","0","0","0","0","0","0","0","0","0","0","0"
"28","0","0","0","0","0","1","0","0","0","0","0","1"
"30","0","0","0","0","0","0","0","0","0","0","0","0"
"32","0","0","0","0","0","0","1","0","0","0","0","1"
"33","0","0","0","0","0","1","0","0","0","0","0","1"
"34","0","0","0","0","0","0","0","1","0","0","0","1"
"40","0","0","0","0","0","0","0","0","0","0","1","1"
"41","0","0","0","0","0","0","0","0","0","0","0","0"
"42","0","0","0","0","1","0","0","0","0","0","0","1"
"43","0","0","0","0","0","0","0","0","0","0","0","0"
"44","0","0","0","0","0","1","0","0","0","0","0","1"
"46","0","0","0","0","0","0","0","0","0","0","0","0"
"46","0","0","0","0","0","1","0","0","0","0","0","1"
"47","0","0","0","0","0","0","0","0","0","0","0","0"
"48","0","0","0","0","0","0","0","0","0","0","0","0"
"49","0","0","0","0","0","0","0","0","0","0","0","0"
"50","0","0","0","0","0","0","0","0","0","0","0","0"
"52","0","0","0","0","0","1","0","0","0","0","0","1"
"60","0","0","0","0","0","2","0","0","0","0","0","2"
"61","3","0","0","0","0","3","0","0","0","0","0","6"
"62","0","0","0","0","0","1","0","0","0","0","0","1"
"63","0","0","0","0","0","1","0","0","0","0","0","1"
"66","0","0","0","0","0","3","0","0","0","0","0","3"
"67","0","0","0","0","0","0","0","0","0","0","0","0"
"68","0","0","0","0","0","1","1","1","0","0","0","3"
"69","0","0","0","0","0","0","0","0","0","0","0","0"
"70","0","0","0","0","0","2","0","0","0","0","0","2"
"71","0","0","0","0","0","2","0","1","0","1","0","4"
"72","0","1","0","0","0","0","0","0","0","0","0","1"
"73","0","0","0","0","0","1","0","0","0","0","0","1"
"75","0","1","0","1","0","1","0","0","0","0","0","3"
"76","0","0","0","0","0","0","0","1","0","0","0","1"
"77","0","1","0","0","0","0","0","0","0","0","0","1"
"78","0","0","0","0","0","2","0","0","0","0","0","2"
"79","0","0","0","0","0","0","0","0","0","0","0","0"
"81","0","0","0","0","0","1","0","0","0","0","0","1"
"83","0","0","0","0","0","0","0","0","0","0","0","0"
"84","0","0","0","0","1","4","0","0","0","0","0","5"
"88","0","0","0","0","0","1","0","0","0","0","0","1"
"90","0","0","0","0","0","4","0","0","0","1","0","5"
"94","0","0","0","0","0","5","0","1","0","0","0","6"
"100","0","0","0","0","0","0","0","0","0","0","0","0"
"101","0","0","0","0","0","0","0","0","0","0","0","0"
"102","0","0","0","0","1","1","0","0","0","0","0","2"
"103","0","0","0","0","1","0","0","0","0","0","0","1"
"104","0","0","0","0","0","0","0","1","0","0","0","1"
"105","0","1","0","0","0","1","0","0","0","0","0","2"
"106","0","0","0","0","0","0","0","0","0","0","0","0"
"107","0","0","0","0","0","1","0","2","0","0","0","3"
"108","0","0","0","0","0","0","0","0","0","0","0","0"
"109","0","1","0","0","0","0","0","0","0","0","0","1"
"110","0","0","0","0","0","1","0","0","0","3","0","4"
"111","0","0","0","0","0","0","0","0","0","0","0","0"
"112","0","0","0","0","0","1","0","0","0","1","0","2"
"113","0","1","0","0","0","0","0","0","0","0","0","1"
"114","0","0","0","0","0","1","0","0","0","0","0","1"
"115","0","1","0","0","0","0","0","0","0","0","0","1"
"120","0","0","0","0","0","0","0","0","0","0","0","0"
"121","0","0","0","0","0","2","0","0","0","0","0","2"
"122","0","0","0","0","0","1","0","0","0","0","0","1"
"123","0","0","0","0","0","0","0","0","0","0","0","0"
"Total","3","12","1","2","5","58","3","10","1","6","1","102"
